Gene	Gene score (% variance explained by pseudotime)				
MSTRG.14855	41.9				
Zm00001d031560	41.9				
Zm00001d034950	41.9				
Zm00001d019283	41.9				
Zm00001d009578	41.9				
Zm00001d047207	41.9				
Zm00001d022161	41.9				
Zm00001d016803	41.8				
Zm00001d013034	41.8				
Zm00001d052229	41.8				
Zm00001d028905	41.8				
Zm00001d044391	41.8				
Zm00001d053626	41.8				
Zm00001d016380	41.8				
MSTRG.10113	41.8				
Zm00001d022442	41.7				
Zm00001d026685	41.7				
Zm00001d034628	41.7				
Zm00001d047472	41.7				
Zm00001d006905	41.7				
Zm00001d018090	41.7				
Zm00001d051636	41.5				
MSTRG.6014	41.5				
Zm00001d024540	41.5				
Zm00001d006109	41.5				
Zm00001d028656	41.4				
Zm00001d050383	41.4				
Zm00001d018399	41.4				
Zm00001d012635	41.4				
Zm00001d043652	41.4				
Zm00001d043089	41.4				
Zm00001d049079	41.3				
MSTRG.7611	41.3				
Zm00001d049540	41.3				
Zm00001d033248	41.2				
Zm00001d053728	41.2				
Zm00001d030131	41.2				
Zm00001d018309	41.2				
Zm00001d022505	41.2				
Zm00001d030725	41.2				
Zm00001d048291	41.1				
Zm00001d027707	41.1				
Zm00001d004839	41.1				
Zm00001d015856	41.1				
MSTRG.5955	41.1				
Zm00001d033250	41				
Zm00001d018408	41				
Zm00001d011321	41				
Zm00001d017768	41				
Zm00001d034188	41				
Zm00001d047757	41				
Zm00001d052124	41				
MSTRG.13775	40.9				
Zm00001d021087	40.9				
Zm00001d001811	40.9				
Zm00001d048655	40.9				
Zm00001d042525	40.9				
Zm00001d017847	40.9				
Zm00001d050395	40.9				
MSTRG.8628	40.9				
Zm00001d034996	40.8				
Zm00001d015300	40.8				
Zm00001d008691	40.8				
Zm00001d038080	40.8				
MSTRG.10008	40.8				
Zm00001d030691	40.7				
Zm00001d010920	40.7				
Zm00001d024543	40.7				
Zm00001d012675	40.7				
Zm00001d038389	40.7				
Zm00001d036280	40.7				
Zm00001d053556	40.6				
MSTRG.20326	40.6				
Zm00001d038327	40.6				
Zm00001d027976	40.6				
Zm00001d043382	40.6				
Zm00001d017472	40.6				
Zm00001d027841	40.6				
Zm00001d033518	40.6				
Zm00001d040459	40.6				
Zm00001d018370	40.5				
Zm00001d020429	40.5				
Zm00001d044906	40.5				
MSTRG.19387	40.5				
Zm00001d035616	40.5				
Zm00001d038541	40.4				
Zm00001d026630	40.4				
Zm00001d040257	40.4				
Zm00001d037278	40.4				
Zm00001d050921	40.4				
Zm00001d050567	40.4				
Zm00001d038709	40.4				
Zm00001d039370	40.4				
MSTRG.7050	40.4				
Zm00001d015449	40.3				
Zm00001d024319	40.3				
Zm00001d044754	40.3				
Zm00001d044815	40.3				
Zm00001d026254	40.2				
Zm00001d011036	40.2				
MSTRG.12884	40.2				
Zm00001d029188	40.1				
Zm00001d053564	40.1				
Zm00001d041393	40.1				
MSTRG.6269	40				
Zm00001d047600	40				
Zm00001d002163	39.9				
Zm00001d028050	39.9				
MSTRG.8624	39.9				
Zm00001d008546	39.9				
Zm00001d007901	39.9				
Zm00001d049480	39.9				
Zm00001d041105	39.8				
Zm00001d014194	39.8				
Zm00001d019062	39.8				
Zm00001d036797	39.8				
Zm00001d035698	39.7				
Zm00001d018466	39.7				
Zm00001d025717	39.7				
MSTRG.321	39.7				
Zm00001d053798	39.7				
Zm00001d051599	39.7				
Zm00001d023459	39.7				
Zm00001d032142	39.6				
Zm00001d050023	39.6				
Zm00001d008233	39.6				
MSTRG.13426	39.6				
Zm00001d021060	39.6				
Zm00001d002631	39.6				
Zm00001d051502	39.6				
Zm00001d043339	39.6				
Zm00001d037972	39.5				
Zm00001d034245	39.5				
Zm00001d025474	39.5				
Zm00001d046445	39.5				
Zm00001d003670	39.5				
MSTRG.1325	39.5				
Zm00001d041760	39.4				
Zm00001d011192	39.4				
Zm00001d032710	39.4				
Zm00001d053834	39.4				
Zm00001d032267	39.4				
MSTRG.19430	39.4				
Zm00001d021287	39.3				
Zm00001d012988	39.3				
Zm00001d031227	39.3				
Zm00001d012240	39.3				
Zm00001d015723	39.3				
MSTRG.9301	39.1				
Zm00001d031179	39.1				
Zm00001d039013	39.1				
Zm00001d048373	39.1				
Zm00001d022172	39.1				
Zm00001d013499	39.1				
Zm00001d029595	39.1				
Zm00001d049343	39				
Zm00001d033235	39				
Zm00001d053265	39				
Zm00001d028655	39				
Zm00001d032905	39				
Zm00001d025441	39				
Zm00001d043193	39				
Zm00001d017205	39				
Zm00001d051227	38.9				
Zm00001d027612	38.9				
Zm00001d018639	38.9				
Zm00001d048382	38.9				
Zm00001d035468	38.9				
Zm00001d038617	38.8				
Zm00001d018156	38.8				
Zm00001d002277	38.8				
Zm00001d021313	38.7				
Zm00001d025027	38.7				
Zm00001d048428	38.7				
Zm00001d011357	38.7				
Zm00001d033804	38.7				
Zm00001d038167	38.7				
MSTRG.19422	38.7				
Zm00001d018033	38.7				
MSTRG.18220	38.6				
Zm00001d007597	38.6				
Zm00001d027731	38.6				
Zm00001d028807	38.6				
Zm00001d010529	38.6				
Zm00001d010048	38.6				
Zm00001d038823	38.6				
Zm00001d035256	38.5				
Zm00001d042287	38.5				
Zm00001d012428	38.5				
Zm00001d039026	38.5				
Zm00001d013730	38.4				
Zm00001d024998	38.4				
MSTRG.19809	38.4				
Zm00001d026334	38.4				
Zm00001d009597	38.4				
MSTRG.15660	38.4				
Zm00001d027813	38.4				
Zm00001d005271	38.4				
Zm00001d035901	38.3				
Zm00001d043059	38.3				
Zm00001d031019	38.3				
MSTRG.7256	38.3				
Zm00001d042388	38.3				
Zm00001d028252	38.3				
Zm00001d032732	38.2				
Zm00001d002053	38.2				
MSTRG.18947	38.2				
Zm00001d013383	38.2				
Zm00001d005751	38.2				
Zm00001d020976	38.2				
Zm00001d020636	38.2				
Zm00001d033870	38.1				
Zm00001d053226	38.1				
